project_id,work_name,work_type,category,district_id,state_id,constituency_id,contractor_id,agency_id,recommendation_date,sanction_date,target_completion_date,status,project_latitude,project_longitude
MPLADS-000001,Deep Tube Well at Ward-49,Deep Tube Well,Drinking Water,DIST-0524,ST-15,PC-0769,CONT-0233,AGENCY-1012,2023-09-17,2023-10-22,2024-01-20,WORK_IN_PROGRESS,25.34156,91.91828
MPLADS-000002,Community Tank at Ward-73,Community Tank,Drinking Water,DIST-0568,ST-17,PC-0837,CONT-0100,AGENCY-0073,2022-04-17,2022-06-06,2022-09-04,WORK_IN_PROGRESS,19.43032,80.1088
MPLADS-000003,Multi-Village Hospital Block at Ward-90,Multi-Village Hospital Block,Mega Infrastructure,DIST-0600,ST-18,PC-0883,CONT-0280,AGENCY-0570,2023-05-25,2023-06-17,2024-07-21,WORK_IN_PROGRESS,30.6895,76.1485
MPLADS-000004,Yatri Shed at Ward-29,Yatri Shed,Community Infrastructure,DIST-0199,ST-05,PC-0287,CONT-0281,AGENCY-0140,2023-04-09,2023-06-01,2023-09-29,COMPLETED,23.53635,76.86384
MPLADS-000005,Solar High-Mast Light at Ward-85,Solar High-Mast Light,Renewable Energy,DIST-0480,ST-13,PC-0700,CONT-0116,AGENCY-1017,2023-10-07,2023-11-18,2024-01-17,COMPLETED,9.59795,74.9521
MPLADS-000006,School Additional Classroom at Ward-20,School Additional Classroom,Education Infrastructure,DIST-0042,ST-01,PC-0062,CONT-0190,AGENCY-1015,2023-10-21,2023-11-15,2024-04-13,WORK_IN_PROGRESS,25.6809,79.79672
MPLADS-000007,Solar Rooftop Panel at Ward-94,Solar Rooftop Panel,Renewable Energy,DIST-0501,ST-14,PC-0730,CONT-0001,AGENCY-0998,2022-11-17,2023-01-02,2023-03-03,WORK_IN_PROGRESS,23.85654,86.95489
MPLADS-000008,Community Tank at Ward-33,Community Tank,Drinking Water,DIST-0391,ST-10,PC-0565,CONT-0065,AGENCY-0667,2023-04-21,2023-06-16,2023-09-14,WORK_IN_PROGRESS,15.07013,83.32211
MPLADS-000009,Community Tank at Ward-45,Community Tank,Drinking Water,DIST-0118,ST-03,PC-0171,CONT-0058,AGENCY-0865,2023-06-06,2023-06-30,2023-09-28,WORK_IN_PROGRESS,26.58556,87.53812
MPLADS-000010,Ambulance Vehicle at Ward-28,Ambulance Vehicle,Public Health,DIST-0542,ST-16,PC-0794,CONT-0137,AGENCY-0080,2023-09-11,2023-10-17,2024-05-14,WORK_IN_PROGRESS,31.79008,75.88673
MPLADS-000011,Yatri Shed at Ward-79,Yatri Shed,Community Infrastructure,DIST-0166,ST-04,PC-0235,CONT-0317,AGENCY-0995,2022-10-24,2022-12-20,2023-04-19,COMPLETED,24.14726,87.22226
MPLADS-000012,Multi-Village Hospital Block at Ward-62,Multi-Village Hospital Block,Mega Infrastructure,DIST-0328,ST-08,PC-0479,CONT-0060,AGENCY-0716,2023-10-15,2023-11-30,2025-01-03,WORK_IN_PROGRESS,13.16355,74.00758
MPLADS-000013,District Sports Complex at Ward-61,District Sports Complex,Mega Infrastructure,DIST-0533,ST-15,PC-0782,CONT-0025,AGENCY-0795,2022-01-24,2022-03-17,2023-04-21,WORK_IN_PROGRESS,26.30958,95.77437
MPLADS-000014,Deep Tube Well at Ward-42,Deep Tube Well,Drinking Water,DIST-0212,ST-05,PC-0308,CONT-0293,AGENCY-0481,2023-03-15,2023-03-30,2023-06-28,WORK_IN_PROGRESS,22.58193,74.59624
MPLADS-000015,Culvert Bridge at Ward-15,Culvert Bridge,Roads & Bridges,DIST-0324,ST-08,PC-0473,CONT-0309,AGENCY-0146,2022-03-30,2022-04-29,2022-10-26,WORK_IN_PROGRESS,12.60463,78.55363
MPLADS-000016,Major River Overbridge at Ward-64,Major River Overbridge,Mega Infrastructure,DIST-0561,ST-16,PC-0825,CONT-0205,AGENCY-1105,2022-08-28,2022-10-19,2023-11-23,WORK_IN_PROGRESS,32.18576,74.17396
MPLADS-000017,Lift Irrigation Scheme at Ward-74,Lift Irrigation Scheme,Irrigation & Agriculture,DIST-0438,ST-12,PC-0639,CONT-0165,AGENCY-0125,2023-11-11,2023-11-28,2024-05-06,WORK_IN_PROGRESS,17.6377,80.79187
MPLADS-000018,Ambulance Vehicle at Ward-73,Ambulance Vehicle,Public Health,DIST-0600,ST-18,PC-0883,CONT-0071,AGENCY-0728,2023-04-06,2023-05-22,2023-12-18,COMPLETED,30.82435,76.24672
MPLADS-000019,Check Dam at Ward-81,Check Dam,Irrigation & Agriculture,DIST-0392,ST-10,PC-0567,CONT-0122,AGENCY-0290,2023-05-03,2023-05-20,2023-10-27,WORK_IN_PROGRESS,17.80317,81.93713
MPLADS-000020,Primary Health Sub-Centre at Ward-19,Primary Health Sub-Centre,Public Health,DIST-0572,ST-17,PC-0844,CONT-0235,AGENCY-0702,2023-05-02,2023-06-04,2023-12-31,WORK_IN_PROGRESS,22.95223,82.827
MPLADS-000021,Solar Street Lighting at Ward-79,Solar Street Lighting,Renewable Energy,DIST-0080,ST-02,PC-0118,CONT-0130,AGENCY-0056,2023-11-24,2024-01-12,2024-03-12,DELAYED,19.12799,73.34775
MPLADS-000022,Piped Water Network at Ward-68,Piped Water Network,Drinking Water,DIST-0141,ST-03,PC-0201,CONT-0199,AGENCY-0005,2023-05-27,2023-07-16,2023-10-14,WORK_IN_PROGRESS,26.92214,85.64187
MPLADS-000023,Smart Classroom Lab at Ward-85,Smart Classroom Lab,Education Infrastructure,DIST-0413,ST-11,PC-0603,CONT-0196,AGENCY-1229,2023-04-05,2023-05-08,2023-10-05,WORK_IN_PROGRESS,18.69253,84.86751
MPLADS-000024,Community Hall at Ward-43,Community Hall,Community Infrastructure,DIST-0020,ST-01,PC-0029,CONT-0129,AGENCY-0075,2023-07-13,2023-08-23,2023-12-21,WORK_IN_PROGRESS,27.31168,78.91988
MPLADS-000025,School Boundary Wall at Ward-40,School Boundary Wall,Education Infrastructure,DIST-0105,ST-02,PC-0149,CONT-0262,AGENCY-1029,2022-08-07,2022-09-26,2023-02-23,WORK_IN_PROGRESS,16.8033,80.02797
MPLADS-000026,Paver Block Road at Ward-24,Paver Block Road,Roads & Bridges,DIST-0064,ST-01,PC-0093,CONT-0167,AGENCY-1150,2022-01-02,2022-02-07,2022-08-06,WORK_IN_PROGRESS,26.27295,83.40852
MPLADS-000027,District Sports Complex at Ward-64,District Sports Complex,Mega Infrastructure,DIST-0423,ST-11,PC-0618,CONT-0318,AGENCY-0684,2022-04-03,2022-05-15,2023-06-19,WORK_IN_PROGRESS,19.17202,81.71404
MPLADS-000028,Piped Water Network at Ward-62,Piped Water Network,Drinking Water,DIST-0383,ST-10,PC-0553,CONT-0303,AGENCY-0823,2023-09-11,2023-10-08,2024-01-06,WORK_IN_PROGRESS,13.52039,80.70684
MPLADS-000029,Public Toilet Complex at Ward-58,Public Toilet Complex,Community Infrastructure,DIST-0591,ST-17,PC-0871,CONT-0263,AGENCY-0964,2023-07-08,2023-08-27,2023-12-25,WORK_IN_PROGRESS,18.62948,81.19144
MPLADS-000030,Paver Block Road at Ward-29,Paver Block Road,Roads & Bridges,DIST-0459,ST-12,PC-0670,CONT-0011,AGENCY-0524,2023-07-06,2023-08-26,2024-02-22,WORK_IN_PROGRESS,16.6512,79.69801
MPLADS-000031,Multi-Village Hospital Block at Ward-72,Multi-Village Hospital Block,Mega Infrastructure,DIST-0053,ST-01,PC-0079,CONT-0010,AGENCY-0825,2022-06-01,2022-06-22,2023-07-27,WORK_IN_PROGRESS,26.58202,80.58003
MPLADS-000032,Maternity Ward Facility at Ward-08,Maternity Ward Facility,Public Health,DIST-0391,ST-10,PC-0565,CONT-0034,AGENCY-1227,2022-07-13,2022-09-04,2023-04-02,WORK_IN_PROGRESS,15.01405,83.35673
MPLADS-000033,Deep Tube Well at Ward-67,Deep Tube Well,Drinking Water,DIST-0574,ST-17,PC-0846,CONT-0141,AGENCY-1216,2023-03-02,2023-04-20,2023-07-19,WORK_IN_PROGRESS,19.64633,82.712
MPLADS-000034,Solar Street Lighting at Ward-55,Solar Street Lighting,Renewable Energy,DIST-0123,ST-03,PC-0179,CONT-0297,AGENCY-1198,2023-09-14,2023-11-01,2023-12-31,WORK_IN_PROGRESS,24.4973,84.64682
